customer_id,satisfaction_score,survey_date,tier,points
C084,10.0,2023-12-01,,
C054,6.0,2023-12-02,Platinum,2845.0
C071,10.0,2023-12-03,Silver,6231.0
C046,4.0,2023-12-04,Platinum,4208.0
C045,5.0,2023-12-05,Silver,3334.0
C040,10.0,2023-12-06,,
C023,2.0,2023-12-07,,
C081,10.0,2023-12-08,,
C011,2.0,2023-12-09,,
C001,4.0,2023-12-10,Silver,8803.0
C019,6.0,2023-12-11,,
C031,10.0,2023-12-12,Silver,9243.0
C074,2.0,2023-12-13,,
C034,10.0,2023-12-14,Silver,3170.0
C091,1.0,2023-12-15,Bronze,2635.0
C005,7.0,2023-12-16,Silver,6497.0
C077,5.0,2023-12-17,Platinum,2130.0
C078,10.0,2023-12-18,Bronze,2167.0
C013,2.0,2023-12-19,Bronze,2982.0
C032,8.0,2023-12-20,Gold,7937.0
C056,10.0,2023-12-21,,
C089,9.0,2023-12-22,Gold,7821.0
C027,9.0,2023-12-23,Silver,5433.0
C043,10.0,2023-12-24,Bronze,1493.0
C070,2.0,2023-12-25,Gold,3661.0
C016,8.0,2023-12-26,,
C041,9.0,2023-12-27,,
C097,3.0,2023-12-28,,
C010,4.0,2023-12-29,Silver,7956.0
C073,4.0,2023-12-30,Platinum,519.0
C012,10.0,2023-12-31,Platinum,3664.0
C048,9.0,2024-01-01,,
C086,10.0,2024-01-02,Platinum,1902.0
C029,5.0,2024-01-03,Platinum,2288.0
C094,8.0,2024-01-04,,
C006,6.0,2024-01-05,Bronze,4260.0
C067,9.0,2024-01-06,,
C066,9.0,2024-01-07,Silver,5447.0
C036,2.0,2024-01-08,Bronze,2474.0
C017,6.0,2024-01-09,Platinum,4819.0
C050,7.0,2024-01-10,,
C035,5.0,2024-01-11,,
C008,6.0,2024-01-12,,
C096,1.0,2024-01-13,Gold,9466.0
C028,6.0,2024-01-14,,
C020,9.0,2024-01-15,Silver,2527.0
C082,9.0,2024-01-16,Platinum,6735.0
C026,5.0,2024-01-17,,
C063,9.0,2024-01-18,Platinum,9573.0
C014,9.0,2024-01-19,,
C009,,,Platinum,2653.0
C083,,,Bronze,7868.0
C064,,,Platinum,4975.0
C051,,,Silver,667.0
C024,,,Gold,2026.0
C061,,,Platinum,6030.0
C025,,,Silver,3122.0
C039,,,Silver,3813.0
C057,,,Platinum,2675.0
C076,,,Bronze,697.0
C030,,,Gold,6327.0
C092,,,Bronze,2984.0
C042,,,Bronze,598.0
C022,,,Bronze,9767.0
C085,,,Platinum,6221.0
C088,,,Gold,7646.0
C098,,,Platinum,5655.0
C021,,,Platinum,4601.0
C090,,,Bronze,4309.0
C038,,,Silver,1238.0
C060,,,Bronze,638.0
C002,,,Platinum,1726.0
C075,,,Bronze,6093.0
C080,,,Gold,7326.0
C015,,,Bronze,9814.0
C055,,,Platinum,3082.0
C052,,,Gold,6138.0
C007,,,Bronze,790.0
C099,,,Gold,3942.0
C044,,,Platinum,8759.0
